,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),KLOGH (MD)
0,3666.5916,0.111705,0.0,0.0,0.199843,0.8,2.66,0.0216428,0.0,0.5589999999999999,112.7249,0.5988,0.0003
1,3666.744,0.1122359999999999,0.0,0.0,0.218743,0.8,2.66,0.0216422,0.0,0.5131,112.7285,0.5995550000000001,0.0
2,3666.8964,0.114825,0.0,0.0,0.24238,0.8,2.66,0.0216416,0.0,0.4737,112.7321,0.60031,0.0
3,3667.0488,0.114419,0.0,0.0,0.226408,0.8,2.66,0.021641,0.0,0.5054,112.7358,0.601065,0.0
4,3667.2012,0.115867,0.0,0.0,0.216169,0.8,2.66,0.0216404,0.0,0.536,112.7394,0.60182,0.0
5,3667.3536,0.1128579999999999,0.0,0.0,0.178107,0.8,2.66,0.0216399,0.0,0.6336,112.743,0.602575,0.0
6,3667.506,0.118716,0.0,0.0,0.197236,0.8,2.66,0.0216393,0.0,0.6019,112.7467,0.60333,0.0
7,3667.6584,0.124121,0.0,0.0,0.2181969999999999,0.8,2.66,0.0216387,0.0,0.5688,112.7503,0.604086,0.0
8,3667.8108,0.128317,0.0,0.0,0.2434489999999999,0.8,2.66,0.0216380999999999,0.0,0.5271,112.7539,0.604841,0.0
9,3667.9632,0.128881,0.0,0.0,0.259614,0.8,2.66,0.0216375,0.0,0.4964,112.7575,0.605596,0.0
10,3668.1156,0.1273099999999999,0.0,0.0,0.269317,0.8,2.66,0.0216369,0.0,0.4727,112.7612,0.606351,0.0
11,3668.268,0.1187619999999999,0.0,0.0,0.222229,0.8,2.66,0.0216363,0.0,0.5344,112.7648,0.607106,0.0
12,3668.4204,0.117522,0.0,0.0,0.219901,0.8,2.66,0.0216358,0.0,0.5344,112.7684,0.607861,0.0
13,3668.5728,0.118934,0.0,0.0,0.233816,0.8,2.66,0.0216352,0.0,0.5087,112.7721,0.6086159999999999,0.0
14,3668.7252,0.1183319999999999,0.0,0.0,0.2365489999999999,0.8,2.66,0.0216345999999999,0.0,0.5002,112.7757,0.609371,0.0
15,3668.8776,0.115974,0.0,0.0,0.225313,0.8,2.66,0.021634,0.0,0.5147,112.7793,0.6101260000000001,0.0
16,3669.03,0.1155549999999999,0.0,0.0,0.218307,0.8,2.66,0.0216334,0.0,0.5293,112.783,0.610881,0.0
17,3669.1824,0.118799,0.0,0.0,0.225777,0.8,2.66,0.0216328,0.0,0.5262,112.7866,0.611636,0.0
18,3669.3348,0.120146,0.0,0.0,0.214561,0.8,2.66,0.0216322999999999,0.0,0.56,112.7902,0.612391,0.0
19,3669.4872,0.11767,0.0,0.0,0.182385,0.8,2.66,0.0216317,0.0,0.6452,112.7938,0.613146,0.0
20,3669.6396,0.119425,0.0,0.0,0.179045,0.8,2.66,0.0216310999999999,0.0,0.667,112.7975,0.613901,0.0
21,3669.792,0.101918,0.0,0.0,0.101918,0.8,2.66,0.0216305,0.0,1.0,112.8011,0.614657,0.0
22,3669.9444,0.102684,0.0,0.0,0.102684,0.8,2.66,0.0216299,0.0,1.0,112.8047,0.615412,0.0
23,3670.0968,0.1189359999999999,0.0,0.0,0.14553,0.8,2.66,0.0216293,0.0,0.8173,112.8084,0.616167,0.0
24,3670.2492,0.131659,0.0,0.0,0.2062119999999999,0.8,2.66,0.0216287,0.0,0.6385,112.812,0.616922,0.0
25,3670.4016,0.1308369999999999,0.0,0.0,0.198419,0.8,2.66,0.0216282,0.0,0.6594,112.8156,0.617677,0.0
26,3670.554,0.122626,0.0,0.0,0.154475,0.8,2.66,0.0216275999999999,0.0,0.7938,112.8193,0.618432,0.0
27,3670.7064,0.125,0.0,0.0,0.164476,0.8,2.66,0.021627,0.0,0.76,112.8229,0.619187,0.0
28,3670.8588,0.113814,0.0,0.0,0.114178,0.8,2.66,0.0216264,0.0,0.9968,112.8265,0.619942,0.0
29,3671.0112,0.119775,0.0,0.0,0.134864,0.8,2.66,0.0216257999999999,0.0,0.8881,112.8301,0.620697,0.0
30,3671.1636,0.121418,0.0,0.0,0.140837,0.8,2.66,0.0216252,0.0,0.8620999999999999,112.8338,0.621452,0.0
31,3671.316,0.133797,0.0,0.0,0.2072639999999999,0.8,2.66,0.0216247,0.0,0.6455,112.8374,0.622207,0.0
32,3671.4684,0.132984,0.0,0.0,0.212882,0.8,2.66,0.0216241,0.0,0.6247,112.841,0.622962,0.0
33,3671.6208,0.128867,0.0,0.0,0.19898,0.8,2.66,0.0216235,0.0,0.6476,112.8447,0.623717,0.0
34,3671.7732,0.124392,0.0,0.0,0.1801819999999999,0.8,2.66,0.0216229,0.0,0.6904,112.8483,0.624472,0.0
35,3671.9256,0.124223,0.0,0.0,0.181179,0.8,2.66,0.0216222999999999,0.0,0.6856,112.8519,0.625228,0.0
36,3672.078,0.115757,0.0,0.0,0.138877,0.8,2.66,0.0216217,0.0,0.8335,112.8556,0.625983,0.0
37,3672.2304,0.090513,0.0,0.0,0.090513,0.8,2.66,0.0216210999999999,0.0,1.0,112.8592,0.626738,0.0
38,3672.3828,0.112647,0.0,0.0,0.115492,0.8,2.66,0.0216206,0.0,0.9754,112.8628,0.6274930000000001,0.0
39,3672.5352,0.125331,0.0,0.0,0.158968,0.8,2.66,0.02162,0.0,0.7884,112.8665,0.6282479999999999,0.0
40,3672.6876,0.129982,0.0,0.0,0.173063,0.8,2.66,0.0216194,0.0,0.7511,112.8701,0.629003,0.0
41,3672.84,0.12357,0.0,0.0,0.145807,0.8,2.66,0.0216188,0.0,0.8475,112.8737,0.629758,0.0
42,3672.9924,0.152925,0.0,0.0,0.350802,0.8,2.66,0.0216182,0.0,0.4359,112.8774,0.630513,0.0001
43,3673.1448,0.1494679999999999,0.0,0.0,0.359646,0.8,2.66,0.0216175999999999,0.0,0.4156,112.881,0.631268,0.0002
44,3673.2972,0.130486,0.0,0.0,0.235973,0.8,2.66,0.0216171,0.0,0.5529999999999999,112.8846,0.632023,0.0
45,3673.4496,0.125377,0.0,0.0,0.210315,0.8,2.66,0.0216165,0.0,0.5961,112.8883,0.632778,0.0
46,3673.602,0.12449,0.0,0.0,0.20486,0.8,2.66,0.0216159,0.0,0.6077,112.8919,0.633533,0.0
47,3673.7544,0.127375,0.0,0.0,0.221975,0.8,2.66,0.0216153,0.0,0.5738,112.8955,0.634288,0.0
48,3673.9068,0.1238529999999999,0.0,0.0,0.202229,0.8,2.66,0.0216147,0.0,0.6124,112.8992,0.635043,0.0
49,3674.0592,0.116345,0.0,0.0,0.1652,0.8,2.66,0.0216141,0.0,0.7043,112.9028,0.635798,0.0
50,3674.2116,0.1095849999999999,0.0,0.0,0.1382779999999999,0.8,2.66,0.0216135,0.0,0.7925,112.9064,0.636554,0.0
51,3674.364,0.117088,0.0,0.0,0.185833,0.8,2.66,0.021613,0.0,0.6301,112.9101,0.637309,0.0
52,3674.5164,0.117625,0.0,0.0,0.199409,0.8,2.66,0.0216124,0.0,0.5899,112.9137,0.6380640000000001,0.0
53,3674.6688,0.116113,0.0,0.0,0.201604,0.8,2.66,0.0216118,0.0,0.5759,112.9173,0.6388189999999999,0.0
54,3674.8212,0.114745,0.0,0.0,0.206433,0.8,2.66,0.0216112,0.0,0.5558,112.921,0.639574,0.0
55,3674.9736,0.111769,0.0,0.0,0.201096,0.8,2.66,0.0216106,0.0,0.5558,112.9246,0.640329,0.0
56,3675.126,0.109251,0.0,0.0,0.1948339999999999,0.8,2.66,0.02161,0.0,0.5608,112.9282,0.641084,0.0
57,3675.2784,0.112968,0.0,0.0,0.2230059999999999,0.8,2.66,0.0216095,0.0,0.5066,112.9319,0.641839,0.0
58,3675.4308,0.112697,0.0,0.0,0.215086,0.8,2.66,0.0216089,0.0,0.524,112.9355,0.642594,0.0
59,3675.5832,0.117168,0.0,0.0,0.238081,0.8,2.66,0.0216083,0.0,0.4921,112.9391,0.643349,0.0
60,3675.7356,0.1162779999999999,0.0,0.0,0.223178,0.8,2.66,0.0216077,0.0,0.521,112.9428,0.644104,0.0
61,3675.888,0.118618,0.0,0.0,0.233829,0.8,2.66,0.0216071,0.0,0.5073,112.9464,0.644859,0.0
62,3676.0404,0.114039,0.0,0.0,0.199062,0.8,2.66,0.0216065,0.0,0.5729,112.9501,0.645614,0.0
63,3676.1928,0.113847,0.0,0.0,0.199996,0.8,2.66,0.021606,0.0,0.5692,112.9537,0.646369,0.0
64,3676.3452,0.115696,0.0,0.0,0.22035,0.8,2.66,0.0216054,0.0,0.5251,112.9573,0.647125,0.0
65,3676.4976,0.110818,0.0,0.0,0.194725,0.8,2.66,0.0216048,0.0,0.5691,112.961,0.64788,0.0
66,3676.65,0.116367,0.0,0.0,0.234788,0.8,2.66,0.0216042,0.0,0.4956,112.9646,0.6486350000000001,0.0
67,3676.8024,0.11864,0.0,0.0,0.247799,0.8,2.66,0.0216035999999999,0.0,0.4788,112.9682,0.6493899999999999,0.0
68,3676.9548,0.107397,0.0,0.0,0.169128,0.8,2.66,0.021603,0.0,0.635,112.9719,0.650145,0.0
69,3677.1072,0.112453,0.0,0.0,0.2025549999999999,0.8,2.66,0.0216024,0.0,0.5552,112.9755,0.6509,0.0
70,3677.2596,0.114665,0.0,0.0,0.223573,0.8,2.66,0.0216019,0.0,0.5129,112.9791,0.651655,0.0
71,3677.412,0.110302,0.0,0.0,0.197416,0.8,2.66,0.0216013,0.0,0.5587,112.9828,0.65241,0.0
72,3677.5644,0.112049,0.0,0.0,0.2090929999999999,0.8,2.66,0.0216007,0.0,0.5359,112.9864,0.653165,0.0
73,3677.7168,0.10928,0.0,0.0,0.189326,0.8,2.66,0.0216000999999999,0.0,0.5772,112.99,0.65392,0.0
74,3677.8692,0.11242,0.0,0.0,0.212275,0.8,2.66,0.0215995,0.0,0.5296,112.9937,0.654675,0.0
75,3678.0216,0.114034,0.0,0.0,0.230038,0.8,2.66,0.0215989,0.0,0.4957,112.9973,0.6554300000000001,0.0
76,3678.174,0.112673,0.0,0.0,0.225823,0.8,2.66,0.0215984,0.0,0.4989,113.001,0.656185,0.0
77,3678.3264,0.111967,0.0,0.0,0.2225929999999999,0.8,2.66,0.0215977999999999,0.0,0.503,113.0046,0.65694,0.0
78,3678.4788,0.110855,0.0,0.0,0.215083,0.8,2.66,0.0215972,0.0,0.5154,113.0082,0.6576960000000001,0.0
79,3678.6312,0.1094369999999999,0.0,0.0,0.205415,0.8,2.66,0.0215965999999999,0.0,0.5328,113.0119,0.658451,0.0
80,3678.7836,0.109785,0.0,0.0,0.208589,0.8,2.66,0.021596,0.0,0.5263,113.0155,0.6592060000000001,0.0
81,3678.936,0.109016,0.0,0.0,0.207531,0.8,2.66,0.0215954,0.0,0.5253,113.0191,0.659961,0.0
82,3679.0884,0.1092539999999999,0.0,0.0,0.219844,0.8,2.66,0.0215949,0.0,0.497,113.0228,0.660716,0.0
83,3679.2408,0.107949,0.0,0.0,0.2220349999999999,0.8,2.66,0.0215942999999999,0.0,0.4862,113.0264,0.661471,0.0
84,3679.3932,0.1077119999999999,0.0,0.0,0.22365,0.8,2.66,0.0215937,0.0,0.4816,113.03,0.662226,0.0
